source_collection,lead_id,business_name,phone,status,error,provider_msg_id,trigger_source,timestamp
campaign_leads.outreach_history,tj-auto-clinic-001,TJ Auto Clinic Limited,+12265017777,sent,,,unknown,2026-04-17T21:32:00Z
campaign_leads.outreach_history,tj-auto-clinic-001,TJ Auto Clinic Limited,12265017777,sent,,,unknown,2026-04-17T19:15:30.033948+00:00
campaign_leads.outreach_history,tj-auto-clinic-001,TJ Auto Clinic Limited,+12265017777,,,,unknown,
campaign_leads.outreach_history,spadina-auto,Spadina Auto,(416)9254251,failed,,,auto,2026-04-22T17:51:09.443910+00:00
campaign_leads.outreach_history,spadina-auto,Spadina Auto,(416)9254251,failed,,,auto,2026-04-22T17:51:17.429341+00:00
campaign_leads.outreach_history,neo-coffee-bar-king-x-spadina,NEO COFFEE BAR KING X SPADINA,(437)9159155,failed,,,auto,2026-04-22T17:51:26.150962+00:00
campaign_leads.outreach_history,neo-coffee-bar-king-x-spadina,NEO COFFEE BAR KING X SPADINA,(437)9159155,failed,,,auto,2026-04-22T17:51:34.334765+00:00
campaign_leads.outreach_history,salon-solis,Salon Solis,(416)9441464,failed,,,auto,2026-04-22T17:51:42.338965+00:00
campaign_leads.outreach_history,salon-solis,Salon Solis,(416)9441464,failed,,,auto,2026-04-22T17:51:44.975414+00:00
campaign_leads.outreach_history,all-ontario-express-inc,All Ontario Express Inc,(905)9401680,failed,,,auto,2026-04-22T17:51:59.791380+00:00
campaign_leads.outreach_history,all-ontario-express-inc,All Ontario Express Inc,(905)9401680,failed,,,auto,2026-04-22T17:52:07.958033+00:00
campaign_leads.outreach_history,toronto-best-auto,Toronto Best Auto,(416)2481241,failed,,,auto,2026-04-22T17:52:30.147722+00:00
campaign_leads.outreach_history,toronto-best-auto,Toronto Best Auto,(416)2481241,failed,,,auto,2026-04-22T17:52:38.603906+00:00
campaign_leads.outreach_history,toronto-best-auto,Toronto Best Auto,(416)2481241,failed,,,auto,2026-04-22T17:52:38.758602+00:00
campaign_leads.outreach_history,ssr-auto-service,SSR AUTO SERVICE,(416)4668782,failed,,,auto,2026-04-22T17:52:47.652296+00:00
campaign_leads.outreach_history,master-mechanic-high-park,Master Mechanic High Park,(416)5322449,failed,,,auto,2026-04-22T17:55:25.545548+00:00
campaign_leads.outreach_history,fine-tuned-autos-best-auto-repair-shop-york-toronto,"Fine Tuned Autos - Best Auto Repair Shop York, Toronto",(416)2430949,failed,,,auto,2026-04-22T17:55:29.250270+00:00
campaign_leads.outreach_history,euromechanic-mcdermott-motors,EuroMechanic - McDermott Motors,(416)3611707,failed,,,auto,2026-04-22T17:55:37.842034+00:00
campaign_leads.outreach_history,king-strachan-automotive,KING & STRACHAN AUTOMOTIVE,(416)7608100,failed,,,auto,2026-04-22T17:55:40.628804+00:00
campaign_leads.outreach_history,lupe-s-auto,Lupe's Auto,(909)9883131,failed,,,auto,2026-04-22T17:55:51.629886+00:00
campaign_leads.outreach_history,lupe-s-auto,Lupe's Auto,(909)9883131,failed,,,auto,2026-04-22T17:55:51.816101+00:00
campaign_leads.outreach_history,auto-depot-performance-group,Auto Depot Performance Group,(705)2222277,failed,,,auto,2026-04-22T17:56:10.324774+00:00
campaign_leads.outreach_history,auto-depot-performance-group,Auto Depot Performance Group,(705)2222277,failed,,,auto,2026-04-22T17:56:10.349488+00:00
campaign_leads.outreach_history,the-auto-shop-inc,The Auto Shop Inc,(905)8950476,failed,,,auto,2026-04-22T17:56:22.366770+00:00
campaign_leads.outreach_history,the-auto-shop-inc,The Auto Shop Inc,(905)8950476,failed,,,auto,2026-04-22T17:56:22.177843+00:00
campaign_leads.outreach_history,dowdy-s-automotive,Dowdy's Automotive,(541)8892754,failed,,,auto,2026-04-22T17:56:39.703256+00:00
campaign_leads.outreach_history,dowdy-s-automotive,Dowdy's Automotive,(541)8892754,failed,,,auto,2026-04-22T17:56:39.728737+00:00
campaign_leads.outreach_history,central-import,Central Import,(416)8649092,failed,,,auto,2026-04-22T17:50:53.908664+00:00
campaign_leads.outreach_history,central-import,Central Import,(416)8649092,failed,,,auto,2026-04-22T17:50:54.184782+00:00
campaign_leads.outreach_history,anchor-salon-llc,Anchor Salon LLC,(585)7348129,failed,,,auto,2026-04-22T17:56:51.567609+00:00
campaign_leads.outreach_history,reflections-salon-spa-llc,"Reflections Salon & Spa, llc",(419)5293535,failed,,,auto,2026-04-22T17:56:59.863208+00:00
campaign_leads.outreach_history,sara-s-beauty-studio,Sara's Beauty Studio,(909)6731942,failed,,,auto,2026-04-22T17:57:08.753328+00:00
campaign_leads.outreach_history,the-collective-house-salon,The Collective House Salon,(905)8532031,failed,,,auto,2026-04-22T17:57:18.453812+00:00
campaign_leads.outreach_history,jackie-s-beauty-salon,Jackie's Beauty Salon,(909)9836497,failed,,,auto,2026-04-22T17:58:13.206506+00:00
